"GEO_ID"	"GEO_ID2"	"NAME"	"MH2010"	"MH2011"	"MH2012"	"MH2013"	"MH2014"	"MH2015"	"MH2016"	"MH2017"	"MH2018"	"Latitude"	"Longitude"
"11"	"72021"	"0500000US72021"	"Bayamón Municipio, Puerto Rico"	"141300"	"143900"	"145600"	"144500"	"143300"	"142800"	"141100"	"138200"	"134900"	18.34963160842	-66.16835087928
"12"	"72023"	"0500000US72023"	"Cabo Rojo Municipio, Puerto Rico"	"110300"	"114500"	"119700"	"112700"	"116800"	"115000"	"112800"	"114100"	"112400"	18.0527832095	-67.1569736659
"13"	"72025"	"0500000US72025"	"Caguas Municipio, Puerto Rico"	"131300"	"135600"	"140200"	"139800"	"140500"	"138000"	"137300"	"133300"	"131300"	18.21196913919	-66.05080896282
"14"	"72027"	"0500000US72027"	"Camuy Municipio, Puerto Rico"	"85200"	"89600"	"97900"	"96200"	"98900"	"100900"	"105300"	"108300"	"100200"	18.41907087277	-66.86036941466
"15"	"72029"	"0500000US72029"	"Canóvanas Municipio, Puerto Rico"	"116700"	"119300"	"120700"	"121400"	"121700"	"121100"	"116600"	"115900"	"110200"	18.32908063325	-65.8878860814
"16"	"72031"	"0500000US72031"	"Carolina Municipio, Puerto Rico"	"151000"	"154100"	"155100"	"155100"	"153700"	"152800"	"150300"	"146400"	"143900"	18.37525587204	-65.95706646594
"17"	"72033"	"0500000US72033"	"Cataño Municipio, Puerto Rico"	"119800"	"120400"	"122800"	"124600"	"127000"	"124300"	"127100"	"125000"	"119200"	18.44154991654	-66.1388653428
"18"	"72035"	"0500000US72035"	"Cayey Municipio, Puerto Rico"	"98900"	"105500"	"112000"	"111900"	"115800"	"118100"	"120800"	"119500"	"117400"	18.102924568	-66.14954274984
"19"	"72037"	"0500000US72037"	"Ceiba Municipio, Puerto Rico"	"97600"	"98600"	"99100"	"96700"	"98000"	"97300"	"96200"	"94000"	"92600"	18.25185522606	-65.66685314325
"20"	"72039"	"0500000US72039"	"Ciales Municipio, Puerto Rico"	"95400"	"98100"	"106900"	"104300"	"107300"	"108200"	"103700"	"93400"	"89700"	18.28908356103	-66.51647826667
"21"	"72041"	"0500000US72041"	"Cidra Municipio, Puerto Rico"	"106200"	"106800"	"114000"	"115200"	"117800"	"118200"	"120000"	"117500"	"121700"	18.17373856243	-66.16095119936
"22"	"72043"	"0500000US72043"	"Coamo Municipio, Puerto Rico"	"80100"	"86600"	"88800"	"91200"	"92100"	"93200"	"90500"	"88300"	"88800"	18.09735427496	-66.36018565239
"23"	"72045"	"0500000US72045"	"Comerío Municipio, Puerto Rico"	"81300"	"87000"	"91400"	"92900"	"95000"	"92700"	"89000"	"87800"	"89700"	18.22476832173	-66.22182400506
"24"	"72047"	"0500000US72047"	"Corozal Municipio, Puerto Rico"	"87300"	"99700"	"109000"	"112300"	"109200"	"101800"	"93500"	"88900"	"89900"	18.30435059514	-66.32792351529
"25"	"72049"	"0500000US72049"	"Culebra Municipio, Puerto Rico"	"117900"	"121400"	"124200"	"118800"	"154900"	"122800"	"104800"	"89600"	"113500"	18.31305352342	-65.28823463756
"26"	"72051"	"0500000US72051"	"Dorado Municipio, Puerto Rico"	"141100"	"142700"	"141300"	"146100"	"150300"	"140300"	"148600"	"143300"	"139000"	18.43700052113	-66.27849155231
"27"	"72053"	"0500000US72053"	"Fajardo Municipio, Puerto Rico"	"101500"	"105000"	"107300"	"107200"	"106900"	"106700"	"105300"	"102300"	"99500"	18.3174768591	-65.66907505747
"28"	"72054"	"0500000US72054"	"Florida Municipio, Puerto Rico"	"107200"	"102100"	"104300"	"108700"	"95000"	"91300"	"94300"	"94500"	"93200"	18.373477521	-66.56022527437
"29"	"72055"	"0500000US72055"	"Guánica Municipio, Puerto Rico"	"74900"	"80700"	"84900"	"86900"	"87500"	"90100"	"90000"	"87700"	"90900"	17.98199387857	-66.919576479
"30"	"72057"	"0500000US72057"	"Guayama Municipio, Puerto Rico"	"87400"	"91800"	"92900"	"94000"	"97600"	"96000"	"95200"	"90800"	"88900"	17.98848534519	-66.13922999473
"31"	"72059"	"0500000US72059"	"Guayanilla Municipio, Puerto Rico"	"74600"	"80000"	"82600"	"85500"	"86100"	"84800"	"82600"	"82100"	"80300"	18.03868617262	-66.79182053052
"32"	"72061"	"0500000US72061"	"Guaynabo Municipio, Puerto Rico"	"201300"	"206000"	"210700"	"204500"	"199000"	"200400"	"199100"	"191200"	"177400"	18.34385107443	-66.1140686562
"33"	"72063"	"0500000US72063"	"Gurabo Municipio, Puerto Rico"	"140700"	"150100"	"161900"	"163900"	"163500"	"163600"	"156700"	"147500"	"143500"	18.2664480917	-65.97930710956
"34"	"72065"	"0500000US72065"	"Hatillo Municipio, Puerto Rico"	"93900"	"101200"	"138300"	"134500"	"135200"	"129300"	"112800"	"97500"	"93500"	18.41073427614	-66.796487901
"35"	"72067"	"0500000US72067"	"Hormigueros Municipio, Puerto Rico"	"88900"	"90600"	"99000"	"102800"	"106100"	"106900"	"109200"	"104700"	"101600"	18.13420591371	-67.11405630633
"36"	"72069"	"0500000US72069"	"Humacao Municipio, Puerto Rico"	"108400"	"110800"	"111300"	"113600"	"109000"	"102400"	"98300"	"97300"	"95400"	18.14514635289	-65.81052442615
"37"	"72071"	"0500000US72071"	"Isabela Municipio, Puerto Rico"	"98700"	"101700"	"107700"	"107500"	"106500"	"109000"	"109000"	"103100"	"105300"	18.45016809752	-67.00521445521
"38"	"72073"	"0500000US72073"	"Jayuya Municipio, Puerto Rico"	"94400"	"96500"	"97500"	"95200"	"93000"	"91700"	"90300"	"90700"	"94100"	18.21069245593	-66.58846598716
"39"	"72075"	"0500000US72075"	"Juana Díaz Municipio, Puerto Rico"	"96000"	"101700"	"107400"	"104500"	"105500"	"103700"	"99000"	"93300"	"93300"	18.04334018135	-66.49322546609
"40"	"72077"	"0500000US72077"	"Juncos Municipio, Puerto Rico"	"109800"	"114900"	"118300"	"116400"	"117300"	"117700"	"116100"	"112800"	"108500"	18.22359606657	-65.90890293261
"41"	"72079"	"0500000US72079"	"Lajas Municipio, Puerto Rico"	"88500"	"95900"	"98600"	"100500"	"98500"	"97800"	"93900"	"91400"	"88800"	18.01151678217	-67.04062723941
"42"	"72081"	"0500000US72081"	"Lares Municipio, Puerto Rico"	"92800"	"98300"	"103300"	"96800"	"96800"	"91000"	"87500"	"86400"	"88000"	18.26870692543	-66.86679614928
"43"	"72083"	"0500000US72083"	"Las Marías Municipio, Puerto Rico"	"83000"	"90700"	"101600"	"83500"	"89100"	"80200"	"75500"	"73100"	"83400"	18.2371152959	-66.98343349182
"44"	"72085"	"0500000US72085"	"Las Piedras Municipio, Puerto Rico"	"114400"	"116600"	"118800"	"114500"	"115100"	"114800"	"114100"	"115600"	"118500"	18.18761582442	-65.86930634484
"45"	"72087"	"0500000US72087"	"Loíza Municipio, Puerto Rico"	"101700"	"105100"	"106200"	"106900"	"107100"	"107200"	"105500"	"105200"	"103200"	18.42492813894	-65.9108558863
"46"	"72089"	"0500000US72089"	"Luquillo Municipio, Puerto Rico"	"109900"	"110900"	"111200"	"109700"	"109900"	"111000"	"111900"	"109200"	"110400"	18.34315904589	-65.7249292751
"47"	"72091"	"0500000US72091"	"Manatí Municipio, Puerto Rico"	"106700"	"110400"	"112300"	"113500"	"116100"	"114900"	"109600"	"106600"	"108400"	18.42072849122	-66.4902731118
"48"	"72093"	"0500000US72093"	"Maricao Municipio, Puerto Rico"	"83900"	"101000"	"99200"	"97700"	"106100"	"108700"	"94200"	"92900"	"90800"	18.17211230228	-66.94231066237
"49"	"72095"	"0500000US72095"	"Maunabo Municipio, Puerto Rico"	"87100"	"92200"	"96600"	"98200"	"99800"	"99200"	"93900"	"91000"	"89400"	18.00987250126	-65.9197614834
"50"	"72097"	"0500000US72097"	"Mayagüez Municipio, Puerto Rico"	"90000"	"91700"	"95900"	"96700"	"99300"	"100400"	"101400"	"99800"	"98700"	18.20790119939	-67.10917150023
"51"	"72099"	"0500000US72099"	"Moca Municipio, Puerto Rico"	"92300"	"97500"	"99800"	"96400"	"95000"	"99500"	"96300"	"97300"	"96500"	18.37799750403	-67.08078146208
"52"	"72101"	"0500000US72101"	"Morovis Municipio, Puerto Rico"	"95000"	"99100"	"104900"	"103100"	"97300"	"101200"	"99400"	"98000"	"100300"	18.31710237845	-66.420327739
"53"	"72103"	"0500000US72103"	"Naguabo Municipio, Puerto Rico"	"91000"	"98000"	"102000"	"100900"	"93400"	"94100"	"94600"	"91900"	"91200"	18.2303877822	-65.75362968652
"54"	"72105"	"0500000US72105"	"Naranjito Municipio, Puerto Rico"	"80500"	"87000"	"93500"	"100400"	"100200"	"103300"	"100700"	"94500"	"89900"	18.28845584458	-66.25256685734
"55"	"72107"	"0500000US72107"	"Orocovis Municipio, Puerto Rico"	"84900"	"101500"	"113000"	"108400"	"105300"	"107600"	"98400"	"89300"	"89800"	18.21493490946	-66.43403438946
"56"	"72109"	"0500000US72109"	"Patillas Municipio, Puerto Rico"	"81800"	"87200"	"92000"	"93600"	"93700"	"95400"	"94000"	"94800"	"92200"	18.0318285731	-66.01233769965
"57"	"72111"	"0500000US72111"	"Peñuelas Municipio, Puerto Rico"	"76300"	"82000"	"84700"	"86500"	"83800"	"82100"	"77500"	"76600"	"75000"	18.06072154208	-66.72143570776
"58"	"72113"	"0500000US72113"	"Ponce Municipio, Puerto Rico"	"99700"	"104100"	"107000"	"106700"	"106900"	"103000"	"99900"	"98600"	"98800"	18.06063079388	-66.61460459185
"59"	"72115"	"0500000US72115"	"Quebradillas Municipio, Puerto Rico"	"103900"	"107600"	"110300"	"112200"	"119500"	"114400"	"108900"	"109600"	"108000"	18.439763024	-66.92604805239
"60"	"72117"	"0500000US72117"	"Rincón Municipio, Puerto Rico"	"112800"	"107600"	"121100"	"121400"	"124800"	"127200"	"127500"	"122200"	"121500"	18.32315121745	-67.2267625216
"61"	"72119"	"0500000US72119"	"Río Grande Municipio, Puerto Rico"	"115200"	"116500"	"117200"	"118000"	"117300"	"116600"	"116800"	"114300"	"114000"	18.34672063993	-65.81358603794
"62"	"72121"	"0500000US72121"	"Sabana Grande Municipio, Puerto Rico"	"90500"	"93700"	"96900"	"97700"	"98100"	"97700"	"98100"	"95800"	"96700"	18.08366375249	-66.94332831534
"63"	"72123"	"0500000US72123"	"Salinas Municipio, Puerto Rico"	"84500"	"86300"	"90000"	"85800"	"85500"	"85500"	"86400"	"85900"	"85700"	18.00720788456	-66.25505124025
"64"	"72125"	"0500000US72125"	"San Germán Municipio, Puerto Rico"	"88700"	"90700"	"97300"	"98300"	"108500"	"106800"	"101600"	"94800"	"90300"	18.11113938316	-67.03844091571
"65"	"72127"	"0500000US72127"	"San Juan Municipio, Puerto Rico"	"165700"	"168700"	"168300"	"166400"	"164800"	"163100"	"161100"	"158000"	"155700"	18.39080475844	-66.0632973779
"66"	"72129"	"0500000US72129"	"San Lorenzo Municipio, Puerto Rico"	"110900"	"118800"	"133500"	"132300"	"125400"	"119200"	"116900"	"111000"	"108500"	18.14805523493	-65.97647202126
"67"	"72131"	"0500000US72131"	"San Sebastián Municipio, Puerto Rico"	"93600"	"105200"	"113700"	"113100"	"111800"	"109700"	"103400"	"99900"	"97800"	18.32876462785	-66.97126062003
"68"	"72133"	"0500000US72133"	"Santa Isabel Municipio, Puerto Rico"	"94500"	"94000"	"96700"	"96300"	"89900"	"91800"	"93100"	"92800"	"92400"	17.99433203598	-66.38858505869
"69"	"72135"	"0500000US72135"	"Toa Alta Municipio, Puerto Rico"	"135100"	"142400"	"147800"	"152400"	"153500"	"150000"	"146900"	"142800"	"137500"	18.36255867599	-66.2464370596
"70"	"72137"	"0500000US72137"	"Toa Baja Municipio, Puerto Rico"	"120700"	"125400"	"129300"	"132200"	"133400"	"135600"	"135100"	"131000"	"127400"	18.43237321319	-66.21208422992
"71"	"72139"	"0500000US72139"	"Trujillo Alto Municipio, Puerto Rico"	"159100"	"161500"	"162200"	"162300"	"161400"	"158900"	"155700"	"152400"	"147300"	18.33634327275	-65.99913502802
"72"	"72141"	"0500000US72141"	"Utuado Municipio, Puerto Rico"	"90100"	"97200"	"98900"	"99900"	"101600"	"95100"	"93000"	"93500"	"91600"	18.27104900901	-66.70249225104
"73"	"72143"	"0500000US72143"	"Vega Alta Municipio, Puerto Rico"	"109900"	"115600"	"118700"	"123300"	"124800"	"122200"	"119100"	"118500"	"116000"	18.40950812667	-66.3372242935
"74"	"72145"	"0500000US72145"	"Vega Baja Municipio, Puerto Rico"	"109900"	"113700"	"114400"	"118300"	"119400"	"116200"	"112400"	"115100"	"107600"	18.42849317391	-66.39794239786
"75"	"72147"	"0500000US72147"	"Vieques Municipio, Puerto Rico"	"115700"	"118900"	"116600"	"118300"	"113100"	"112700"	"109600"	"108100"	"104200"	18.12268259772	-65.43910987845
"76"	"72149"	"0500000US72149"	"Villalba Municipio, Puerto Rico"	"94300"	"100600"	"99500"	"98100"	"97200"	"95800"	"93000"	"93800"	"90900"	18.12818838547	-66.47283164283
"77"	"72151"	"0500000US72151"	"Yabucoa Municipio, Puerto Rico"	"90800"	"95600"	"97200"	"95800"	"94900"	"91600"	"90800"	"87800"	"88100"	18.07049765431	-65.89633392956
"78"	"72153"	"0500000US72153"	"Yauco Municipio, Puerto Rico"	"87800"	"91900"	"93800"	"93700"	"93700"	"92700"	"92500"	"91500"	"92000"	18.07977232034	-66.85829327235
