"GEO_ID"	"NAME"	"Hotels2014"	"Hotels2015"	"Hotels2016"	"Hotels2017"	"Hotels2018"
"43"	"72083"	"Las Marías Municipio, Puerto Rico"	0	0	0	0	0
"44"	"72085"	"Las Piedras Municipio, Puerto Rico"	2	2	2	4	4
"45"	"72087"	"Loíza Municipio, Puerto Rico"	0	0	0	0	0
"46"	"72089"	"Luquillo Municipio, Puerto Rico"	3	3	4	3	3
"47"	"72091"	"Manatí Municipio, Puerto Rico"	0	0	0	0	0
"48"	"72093"	"Maricao Municipio, Puerto Rico"	0	0	0	0	0
"49"	"72095"	"Maunabo Municipio, Puerto Rico"	0	0	0	0	0
"50"	"72097"	"Mayagüez Municipio, Puerto Rico"	2	2	3	4	4
"51"	"72099"	"Moca Municipio, Puerto Rico"	0	0	0	0	0
"52"	"72101"	"Morovis Municipio, Puerto Rico"	0	0	0	0	0
"53"	"72103"	"Naguabo Municipio, Puerto Rico"	0	0	0	0	0
"54"	"72105"	"Naranjito Municipio, Puerto Rico"	0	0	0	0	0
"55"	"72107"	"Orocovis Municipio, Puerto Rico"	0	0	0	0	0
"56"	"72109"	"Patillas Municipio, Puerto Rico"	0	0	0	0	0
"57"	"72111"	"Peñuelas Municipio, Puerto Rico"	0	0	0	0	0
"58"	"72113"	"Ponce Municipio, Puerto Rico"	7	8	6	10	9
"59"	"72115"	"Quebradillas Municipio, Puerto Rico"	0	0	0	0	0
"60"	"72117"	"Rincón Municipio, Puerto Rico"	6	8	7	9	6
"61"	"72119"	"Río Grande Municipio, Puerto Rico"	7	8	10	8	6
"62"	"72121"	"Sabana Grande Municipio, Puerto Rico"	0	0	0	0	0
"63"	"72123"	"Salinas Municipio, Puerto Rico"	4	4	4	3	3
"64"	"72125"	"San Germán Municipio, Puerto Rico"	0	0	0	0	0
"65"	"72127"	"San Juan Municipio, Puerto Rico"	58	59	56	56	60
"66"	"72129"	"San Lorenzo Municipio, Puerto Rico"	0	0	0	0	0
"67"	"72131"	"San Sebastián Municipio, Puerto Rico"	0	0	0	0	0
"68"	"72133"	"Santa Isabel Municipio, Puerto Rico"	0	0	0	0	0
"69"	"72135"	"Toa Alta Municipio, Puerto Rico"	0	0	0	0	0
"70"	"72137"	"Toa Baja Municipio, Puerto Rico"	3	3	3	3	3
"71"	"72139"	"Trujillo Alto Municipio, Puerto Rico"	3	3	3	3	3
"72"	"72141"	"Utuado Municipio, Puerto Rico"	0	0	0	0	0
"73"	"72143"	"Vega Alta Municipio, Puerto Rico"	0	0	0	0	0
"74"	"72145"	"Vega Baja Municipio, Puerto Rico"	0	0	0	0	0
"75"	"72147"	"Vieques Municipio, Puerto Rico"	8	9	9	9	8
"76"	"72149"	"Villalba Municipio, Puerto Rico"	0	0	0	0	0
"77"	"72151"	"Yabucoa Municipio, Puerto Rico"	0	0	0	0	0
"78"	"72153"	"Yauco Municipio, Puerto Rico"	0	0	0	0	0
