"","GEO_ID","NAME","U1_unit_detached_2010","U1_unit_attached_2010","U2_units_2010","U3_or_4_units_2010","U5_to_9_units_2010","U10_to_19_units_2010","U20_or_more_units_2010","UMobile_home_2010","UBoat_RV_van_etc_2010","U1_unit_detached_2011","U1_unit_attached_2011","U2_units_2011","U3_or_4_units_2011","U5_to_9_units_2011","U10_to_19_units_2011","U20_or_more_units_2011","UMobile_home_2011","UBoat_RV_van_etc_2011","U1_unit_detached_2012","U1_unit_attached_2012","U2_units_2012","U3_or_4_units_2012","U5_to_9_units_2012","U10_to_19_units_2012","U20_or_more_units_2012","UMobile_home_2012","UBoat_RV_van_etc_2012","U1_unit_detached_2013","U1_unit_attached_2013","U2_units_2013","U3_or_4_units_2013","U5_to_9_units_2013","U10_to_19_units_2013","U20_or_more_units_2013","UMobile_home_2013","UBoat_RV_van_etc_2013","U1_unit_detached_2014","U1_unit_attached_2014","U2_units_2014","U3_or_4_units_2014","U5_to_9_units_2014","U10_to_19_units_2014","U20_or_more_units_2014","UMobile_home_2014","UBoat_RV_van_etc_2014","U1_unit_detached_2015","U1_unit_attached_2015","U2_units_2015","U3_or_4_units_2015","U5_to_9_units_2015","U10_to_19_units_2015","U20_or_more_units_2015","UMobile_home_2015","UBoat_RV_van_etc_2015","U1_unit_detached_2016","U1_unit_attached_2016","U2_units_2016","U3_or_4_units_2016","U5_to_9_units_2016","U10_to_19_units_2016","U20_or_more_units_2016","UMobile_home_2016","UBoat_RV_van_etc_2016","U1_unit_detached_2017","U1_unit_attached_2017","U2_units_2017","U3_or_4_units_2017","U5_to_9_units_2017","U10_to_19_units_2017","U20_or_more_units_2017","UMobile_home_2017","UBoat_RV_van_etc_2017","U1_unit_detached_2018","U1_unit_attached_2018","U2_units_2018","U3_or_4_units_2018","U5_to_9_units_2018","U10_to_19_units_2018","U20_or_more_units_2018","UMobile_home_2018","UBoat_RV_van_etc_2018"
"21","72041","Cidra Municipio, Puerto Rico",72.3,4.2,19,2.3,1.5,0.4,0.2,0.2,0,73.2,3.9,18.5,2.2,1.5,0.3,0,0.3,0,73.8,3.5,18.2,2.3,1.5,0.4,0,0.2,0,73.7,3.8,17.9,2.4,1.7,0.3,0,0.2,0,73.4,3.5,18.5,2.2,1.7,0.4,0,0.4,0,73.7,3.5,18.2,2.1,1.6,0.5,0,0.4,0,75.4,4.3,16.3,1.9,1.3,0.5,0,0.3,0,76.5,6.2,13.4,1.7,1.4,0.4,0,0.5,0,78.1,8.3,9.9,1.6,1.2,0.5,0,0.5,0
"22","72043","Coamo Municipio, Puerto Rico",83.1,11.2,0.4,1,2,1.7,0.5,0,0,83.3,10.3,0.7,1.2,2,1.9,0.7,0,0,83.1,10.9,0.9,1.2,1.7,1.5,0.8,0,0,83.1,11.1,0.9,1.1,1.2,1.7,0.9,0,0,81.6,12.1,0.9,1.4,1.2,1.7,1.1,0,0,80.9,13.2,0.7,1.3,1.4,1.3,1.2,0,0,80.9,13.6,0.5,1,1.3,1.3,1.4,0,0,80.2,14,0.5,0.8,1.7,1.3,1.4,0,0,80.8,14,0.4,0.8,1.9,0.7,1.4,0,0
"23","72045","Comerío Municipio, Puerto Rico",76.4,17,1.9,2.5,1.2,1,0.1,0,0,77.7,15.6,1.9,1.9,1.5,1.1,0.3,0,0,79.1,14,1.8,2.4,1.4,1.1,0.3,0,0,77.4,14,3,2.4,1.5,1.4,0.3,0,0,76.2,11.5,5.5,2.6,1.6,2.2,0.3,0,0,73.5,10.6,7.3,3.1,1.8,2.9,0.7,0,0,73.6,9.9,8.1,3.7,1.3,2.9,0.6,0,0,73.5,10.1,8.3,3.9,0.9,2.7,0.6,0,0,74.1,12.4,6.6,3,1.1,2.2,0.6,0,0
"24","72047","Corozal Municipio, Puerto Rico",84.4,12,1.5,1,0.7,0.2,0,0.2,0,84.5,11.9,1,1,1,0.3,0,0.2,0,85.8,10.8,0.9,0.8,1.2,0.3,0.1,0.1,0,84.3,12,0.9,0.9,1.1,0.4,0.1,0.3,0,83.4,11.2,1.5,1.3,1.5,0.2,0.1,0.8,0,82,12.4,1.3,1.7,1.4,0.4,0.1,0.9,0,82.3,12.1,1.1,1.7,1.2,0.5,0.1,1,0,81.5,12.5,1.3,1.7,1.2,0.4,0,1.3,0,81.3,13,1.4,1.5,1.2,0.3,0,1.3,0
"25","72049","Culebra Municipio, Puerto Rico",68.5,15.6,2.6,5.3,1.7,0,3.2,3.1,0,65.9,17.6,1.8,7.2,1.9,0,2.7,2.9,0,62.6,19.6,2,9.7,1.8,0,2.2,2.1,0,62.5,16.9,2.4,12.4,1.5,0,1.4,2.9,0,61.5,17.5,1.8,13.8,1.1,0,1.9,2.5,0,60.3,16.4,1.7,15.8,0.9,0.4,2.1,2.5,0,58.7,14.7,2.4,17.2,1.8,0.3,2.4,2.4,0,60.3,14,2.2,15.9,1.6,0.3,3.4,2.3,0,59.3,15.9,2.5,15.2,1.8,0.3,3.4,1.7,0
"26","72051","Dorado Municipio, Puerto Rico",74.2,8.5,8.6,2.8,3.4,1.9,0.2,0.3,0,74.2,11.1,5.9,3.1,3.5,1.6,0.2,0.3,0,74.2,14.2,3.7,2.6,3.6,1.4,0.2,0.1,0,73.1,18,1.5,2.4,3.5,1.2,0.2,0.2,0,71.7,19.7,1.4,2.7,3.4,0.6,0.2,0.3,0,70.4,21.6,1.1,2.4,3.3,0.5,0.3,0.3,0,70.3,21.7,1.4,2.4,2.9,0.6,0.4,0.3,0,69.6,22.2,1.7,2.4,2.9,0.4,0.3,0.5,0,70.6,21,1.5,2.7,2.6,0.4,0.4,0.8,0
"27","72053","Fajardo Municipio, Puerto Rico",68.7,11.8,0.9,1.9,5.1,3.9,7.3,0.3,0.1,67.4,11.8,0.7,2.4,5.2,4.2,7.8,0.5,0.1,66.6,11.7,0.6,2.7,6,4.3,7.7,0.4,0,66.1,11.8,0.5,2.7,6.7,4.1,7.6,0.4,0,64.9,11.4,0.5,3,8.1,4.1,7.6,0.4,0,63.4,11.6,0.7,3.3,9.6,3.7,7.3,0.4,0,65.5,10.3,0.7,3.1,9.6,3.5,7.1,0.2,0,66.1,9.7,1,2.7,9.4,3.6,7.3,0.2,0,66,10.3,1.4,2.6,8.4,3.4,7.6,0.2,0
"28","72054","Florida Municipio, Puerto Rico",79.4,15.2,2.3,0.6,0.6,1.2,0.6,0.2,0,78.4,16.3,2.1,0.4,0.8,1.3,0.8,0,0,79.6,16.2,1.5,0.1,0.7,1.7,0.2,0,0,78.4,17,1,0.2,0.3,2.2,0.9,0,0,78.2,16.1,0.4,0,1.4,2.6,1.3,0,0,76.6,18.5,0,0,1.4,2.4,1.1,0,0,80,15.8,0,0,1.2,1.9,1.1,0,0,80.6,15,1,0,1.3,1.2,1,0,0,85.1,11.2,1.2,0,1.3,0.7,0.5,0,0
"29","72055","Guánica Municipio, Puerto Rico",78,14.9,0.7,1.7,3.5,1,0.1,0.1,0,78.7,13.5,0.7,2.3,3.6,0.8,0.1,0.1,0,78.9,13.3,0.6,2.8,3.5,0.6,0.1,0.1,0,79.8,12,0.5,3.1,3.2,0.9,0.4,0.2,0,80.3,12.1,0.6,3,2.2,1.2,0.5,0.1,0,80.3,12.9,0.5,2.5,1.8,1.4,0.4,0.2,0,77.8,14.9,0.6,2.1,2.3,1.6,0.5,0.2,0,76.9,16.1,0.4,1.5,2.7,1.6,0.6,0.2,0,76.8,16.6,0.4,1.3,3.1,1.4,0.4,0.1,0
"30","72057","Guayama Municipio, Puerto Rico",86.3,5.7,0.3,1.3,3.4,1.9,1.1,0,0,86,5.8,1,1.5,2.7,1.9,1.2,0,0,85.2,6,1.3,1.9,2.9,1.7,1,0.1,0,82.7,6.6,1.3,2.3,4.2,1.6,1,0.3,0,82.8,5.8,1.3,2.8,4.8,1.1,1,0.3,0,82.6,5.1,1.2,2.9,5.4,0.9,1.2,0.6,0,84,4.2,0.7,3,5.6,0.8,1,0.7,0,84.2,3.9,0.5,3.2,5.6,0.8,1,0.7,0,84.3,5,0.5,3,4.9,0.6,1,0.6,0
