"","GEO_ID2","NAME","MH2010","MH2011","MH2012","MH2013","MH2014","MH2015","MH2016","MH2017","MH2018","GEO_ID"
"44","0500000US72085","Las Piedras Municipio, Puerto Rico","114400","116600","118800","114500","115100","114800","114100","115600","118500","72085"
"45","0500000US72087","Loíza Municipio, Puerto Rico","101700","105100","106200","106900","107100","107200","105500","105200","103200","72087"
"46","0500000US72089","Luquillo Municipio, Puerto Rico","109900","110900","111200","109700","109900","111000","111900","109200","110400","72089"
"47","0500000US72091","Manatí Municipio, Puerto Rico","106700","110400","112300","113500","116100","114900","109600","106600","108400","72091"
"48","0500000US72093","Maricao Municipio, Puerto Rico","83900","101000","99200","97700","106100","108700","94200","92900","90800","72093"
"49","0500000US72095","Maunabo Municipio, Puerto Rico","87100","92200","96600","98200","99800","99200","93900","91000","89400","72095"
"50","0500000US72097","Mayagüez Municipio, Puerto Rico","90000","91700","95900","96700","99300","100400","101400","99800","98700","72097"
"51","0500000US72099","Moca Municipio, Puerto Rico","92300","97500","99800","96400","95000","99500","96300","97300","96500","72099"
"52","0500000US72101","Morovis Municipio, Puerto Rico","95000","99100","104900","103100","97300","101200","99400","98000","100300","72101"
"53","0500000US72103","Naguabo Municipio, Puerto Rico","91000","98000","102000","100900","93400","94100","94600","91900","91200","72103"
"54","0500000US72105","Naranjito Municipio, Puerto Rico","80500","87000","93500","100400","100200","103300","100700","94500","89900","72105"
"55","0500000US72107","Orocovis Municipio, Puerto Rico","84900","101500","113000","108400","105300","107600","98400","89300","89800","72107"
"56","0500000US72109","Patillas Municipio, Puerto Rico","81800","87200","92000","93600","93700","95400","94000","94800","92200","72109"
"57","0500000US72111","Peñuelas Municipio, Puerto Rico","76300","82000","84700","86500","83800","82100","77500","76600","75000","72111"
"58","0500000US72113","Ponce Municipio, Puerto Rico","99700","104100","107000","106700","106900","103000","99900","98600","98800","72113"
"59","0500000US72115","Quebradillas Municipio, Puerto Rico","103900","107600","110300","112200","119500","114400","108900","109600","108000","72115"
"60","0500000US72117","Rincón Municipio, Puerto Rico","112800","107600","121100","121400","124800","127200","127500","122200","121500","72117"
"61","0500000US72119","Río Grande Municipio, Puerto Rico","115200","116500","117200","118000","117300","116600","116800","114300","114000","72119"
"62","0500000US72121","Sabana Grande Municipio, Puerto Rico","90500","93700","96900","97700","98100","97700","98100","95800","96700","72121"
"63","0500000US72123","Salinas Municipio, Puerto Rico","84500","86300","90000","85800","85500","85500","86400","85900","85700","72123"
"64","0500000US72125","San Germán Municipio, Puerto Rico","88700","90700","97300","98300","108500","106800","101600","94800","90300","72125"
"65","0500000US72127","San Juan Municipio, Puerto Rico","165700","168700","168300","166400","164800","163100","161100","158000","155700","72127"
"66","0500000US72129","San Lorenzo Municipio, Puerto Rico","110900","118800","133500","132300","125400","119200","116900","111000","108500","72129"
"67","0500000US72131","San Sebastián Municipio, Puerto Rico","93600","105200","113700","113100","111800","109700","103400","99900","97800","72131"
"68","0500000US72133","Santa Isabel Municipio, Puerto Rico","94500","94000","96700","96300","89900","91800","93100","92800","92400","72133"
"69","0500000US72135","Toa Alta Municipio, Puerto Rico","135100","142400","147800","152400","153500","150000","146900","142800","137500","72135"
"70","0500000US72137","Toa Baja Municipio, Puerto Rico","120700","125400","129300","132200","133400","135600","135100","131000","127400","72137"
"71","0500000US72139","Trujillo Alto Municipio, Puerto Rico","159100","161500","162200","162300","161400","158900","155700","152400","147300","72139"
"72","0500000US72141","Utuado Municipio, Puerto Rico","90100","97200","98900","99900","101600","95100","93000","93500","91600","72141"
"73","0500000US72143","Vega Alta Municipio, Puerto Rico","109900","115600","118700","123300","124800","122200","119100","118500","116000","72143"
"74","0500000US72145","Vega Baja Municipio, Puerto Rico","109900","113700","114400","118300","119400","116200","112400","115100","107600","72145"
"75","0500000US72147","Vieques Municipio, Puerto Rico","115700","118900","116600","118300","113100","112700","109600","108100","104200","72147"
"76","0500000US72149","Villalba Municipio, Puerto Rico","94300","100600","99500","98100","97200","95800","93000","93800","90900","72149"
"77","0500000US72151","Yabucoa Municipio, Puerto Rico","90800","95600","97200","95800","94900","91600","90800","87800","88100","72151"
"78","0500000US72153","Yauco Municipio, Puerto Rico","87800","91900","93800","93700","93700","92700","92500","91500","92000","72153"
